English,Translation,Transcription,Similar
the window,النافذة,al-nafadhah,0
the wine,النبيذ,al-nabydh,0
the wing,الجناح,al-jnah,0
the winter,الشتاء,al-sahta',0
the wire,السلك,al-salk,0
to wise,إلى الحكمة,ila al-hakmah,0
to wish,أتمنى,atamna,0
with,مع,m',0
within,داخل,dakahl,0
without,بدون,badwn,0
the woman,المرأة,al-mraah,0
the wonder,العجب,al-'jb,0
the wood,الخشب,al-kahshb,0
to work,للعمل,li-l'ml,0
world,عالم,'al-m,0
to worry,للقلق,li-laqlq,0
worth,يستحق,yasthq,0
would,كان,kan,0
to write,للكتابة,li-laktabah,0
wrong,خطأ,kahta,0
yard,ساحة,sahah,0
yeah,نعم,n'm,0
the year,السنة,al-snah,0
yes,نعم,n'm,0
yet,حتى الآن,hta al-aan,0
you,أنت,ant,0
young,شاب,shab,0
your,لك,li-k,0
